row_index,lot,group,tray,txid,xray_issues,expected_image,status,message
162,260401468,1,3,856487806141,Functional,856487806141.png,VALID,Image found at lot1_images\856487806141.png
163,260401468,1,3,858902953295,Functional,858902953295.png,VALID,Image found at lot1_images\858902953295.png
164,260401468,1,4,862861140299,Functional,862861140299.png,VALID,Image found at lot1_images\862861140299.png
165,260401468,1,3,864841279421,Functional,864841279421.png,VALID,Image found at lot1_images\864841279421.png
166,260401468,1,4,868021501374,Functional,868021501374.png,VALID,Image found at lot1_images\868021501374.png
167,260401468,1,2,868833658801,Functional,868833658801.png,VALID,Image found at lot1_images\868833658801.png
168,260401468,1,3,880259127222,pBT,880259127222.png,VALID,Image found at lot1_images\880259127222.png
169,260401468,1,3,886182148940,Functional,886182148940.png,VALID,Image found at lot1_images\886182148940.png
170,260401468,1,2,886867531076,Functional,886867531076.png,VALID,Image found at lot1_images\886867531076.png
171,260401468,1,3,888322663489,Functional,888322663489.png,VALID,Image found at lot1_images\888322663489.png
172,260401468,1,3,890095804352,pBT,890095804352.png,VALID,Image found at lot1_images\890095804352.png
173,260401468,1,1,891398565045,Functional,891398565045.png,VALID,Image found at lot1_images\891398565045.png
174,260401468,1,1,895001833401,Functional,895001833401.png,VALID,Image found at lot1_images\895001833401.png
175,260401468,1,5,897499303247,Functional,897499303247.png,VALID,Image found at lot1_images\897499303247.png
176,260401468,1,1,897961086908,Functional,897961086908.png,VALID,Image found at lot1_images\897961086908.png
177,260401468,1,5,899748003395,Functional,899748003395.png,VALID,Image found at lot1_images\899748003395.png
178,260401468,1,1,909969375041,Functional,909969375041.png,VALID,Image found at lot1_images\909969375041.png
179,260401468,1,3,910375338430,Functional,910375338430.png,VALID,Image found at lot1_images\910375338430.png
180,260401468,1,2,912784585295,Functional,912784585295.png,VALID,Image found at lot1_images\912784585295.png
181,260401468,1,3,914504784062,Functional,914504784062.png,VALID,Image found at lot1_images\914504784062.png
182,260401468,1,5,917176914357,Functional,917176914357.png,VALID,Image found at lot1_images\917176914357.png
183,260401468,1,2,919385873480,Functional,919385873480.png,VALID,Image found at lot1_images\919385873480.png
184,260401468,1,1,925324944308,Functional,925324944308.png,VALID,Image found at lot1_images\925324944308.png
185,260401468,1,2,927111601736,Functional,927111601736.png,VALID,Image found at lot1_images\927111601736.png
186,260401468,1,2,934821922376,Functional,934821922376.png,VALID,Image found at lot1_images\934821922376.png
187,260401468,1,2,937534603840,pBT,937534603840.png,VALID,Image found at lot1_images\937534603840.png
188,260401468,1,3,937575259065,Functional,937575259065.png,VALID,Image found at lot1_images\937575259065.png
189,260401468,1,2,948051671620,Functional,948051671620.png,VALID,Image found at lot1_images\948051671620.png
190,260401468,1,2,954455675968,pBT,954455675968.png,VALID,Image found at lot1_images\954455675968.png
191,260401468,1,1,955865492672,Functional,955865492672.png,VALID,Image found at lot1_images\955865492672.png
192,260401468,1,4,961190070350,Functional,961190070350.png,VALID,Image found at lot1_images\961190070350.png
193,260401468,1,2,966456388539,Functional,966456388539.png,VALID,Image found at lot1_images\966456388539.png
194,260401468,1,5,972654902082,Functional,972654902082.png,VALID,Image found at lot1_images\972654902082.png
195,260401468,1,3,973212003914,Functional,973212003914.png,VALID,Image found at lot1_images\973212003914.png
196,260401468,1,4,979603029826,Functional,979603029826.png,VALID,Image found at lot1_images\979603029826.png
197,260401468,1,2,992048473014,Functional,992048473014.png,VALID,Image found at lot1_images\992048473014.png
198,260401468,1,5,997506444101,pBT,997506444101.png,VALID,Image found at lot1_images\997506444101.png
199,260401468,1,5,999098006976,Functional,999098006976.png,VALID,Image found at lot1_images\999098006976.png
